checking;duration;history;purpose;amount;employed;installp;marital;coapp;resident;property;age;other;housing;existcr;job;depends;telephon;foreign;savings;good_bad;Target
2;12;2;0;1007;3;4;4;1;1;1;22;3;2;1;3;1;1;1;4;good;0
4;36;2;6;1819;3;4;3;1;4;4;37;2;3;1;3;1;2;1;1;bad;1
4;36;2;3;2394;3;4;2;1;4;3;25;3;2;1;3;1;1;1;5;good;0
4;36;2;1;8133;3;1;2;1;2;2;30;1;2;1;3;1;1;1;1;good;0
4;7;4;3;730;5;4;3;1;2;2;46;3;1;2;2;1;2;1;5;good;0
1;8;4;0;1164;5;3;3;1;4;4;51;1;3;2;4;2;2;1;1;good;0
2;42;4;9;5954;4;2;2;1;1;1;41;1;2;2;2;1;1;1;1;good;0
1;36;2;6;1977;5;4;3;1;4;4;40;3;2;1;4;1;2;1;5;bad;1
1;12;4;1;1526;5;4;3;1;4;4;66;3;3;2;4;1;1;1;1;good;0
1;42;2;3;3965;2;4;3;1;3;3;34;3;2;1;3;1;1;1;1;bad;1
2;11;3;3;4771;4;2;3;1;4;2;51;3;2;1;3;1;1;1;1;good;0
4;54;0;1;9436;3;2;3;1;2;2;39;3;2;1;2;2;1;1;5;good;0
2;30;2;2;3832;2;2;4;1;1;2;22;3;2;1;3;1;1;1;1;good;0
4;24;2;3;5943;2;1;2;1;1;3;44;3;2;2;3;1;2;1;5;bad;1
4;15;2;3;1213;5;4;3;1;3;2;47;2;2;1;3;1;2;1;3;good;0
4;18;2;9;1568;3;3;2;1;4;2;24;3;1;1;2;1;1;1;2;good;0
1;24;2;0;1755;5;4;2;3;4;1;58;3;2;1;2;1;2;1;1;good;0
1;10;2;3;2315;5;3;3;1;4;1;52;3;2;1;2;1;1;1;1;good;0
4;12;4;9;1412;3;4;2;3;2;1;29;3;2;2;4;1;2;1;1;good;0
2;18;4;2;1295;2;4;2;1;1;2;27;3;2;2;3;1;1;1;1;good;0
2;36;2;6;12612;3;1;3;1;4;4;47;3;3;1;3;2;2;1;2;bad;1
1;18;2;0;2249;4;4;3;1;3;3;30;3;2;1;4;2;2;1;2;good;0
1;12;0;5;1108;4;4;3;1;3;1;28;3;2;2;3;1;1;1;1;bad;1
4;12;4;3;618;5;4;3;1;4;1;56;3;2;1;3;1;1;1;1;good;0
1;12;4;1;1409;5;4;3;1;3;1;54;3;2;1;3;1;1;1;1;good;0
4;12;4;3;797;5;4;2;1;3;2;33;1;2;1;2;2;1;1;5;bad;1
3;24;4;2;3617;5;4;3;2;4;4;20;3;1;2;3;1;1;1;5;good;0
2;12;2;0;1318;5;4;3;1;4;1;54;3;2;1;3;1;2;1;4;good;0
2;54;0;9;15945;2;3;3;1;4;4;58;3;1;1;3;1;2;1;1;bad;1
4;12;4;6;2012;4;4;2;1;2;3;61;3;2;1;3;1;1;1;5;good;0
2;18;2;9;2622;3;4;3;1;4;3;34;3;2;1;3;1;1;1;2;good;0
2;36;4;3;2337;5;4;3;1;4;1;36;3;2;1;3;1;1;1;1;good;0
2;20;3;1;7057;4;3;3;1;4;2;36;1;1;2;4;2;2;1;5;good;0
4;24;2;0;1469;5;4;4;1;4;1;41;3;1;1;2;1;1;1;2;good;0
2;36;2;3;2323;4;4;3;1;4;3;24;3;1;1;3;1;1;1;1;good;0
4;6;3;3;932;3;3;2;1;2;1;24;3;2;1;3;1;1;1;1;good;0
2;9;4;2;1919;4;4;3;1;3;3;35;3;1;1;3;1;2;1;1;good;0
4;12;2;1;2445;2;2;4;1;4;3;26;3;1;1;3;1;2;1;5;good;0
2;24;4;0;11938;3;2;3;2;3;3;39;3;2;2;4;2;2;1;1;bad;1
4;18;1;0;6458;5;2;3;1;4;4;39;1;2;2;4;2;2;1;1;bad;1
2;12;2;0;6078;4;2;3;1;2;3;32;3;2;1;3;1;1;1;1;good;0
1;24;2;2;7721;2;1;2;1;2;2;30;3;2;1;3;1;2;2;5;good;0
2;14;2;9;1410;5;1;4;1;2;1;35;3;2;1;3;1;2;1;3;good;0
2;6;3;9;1449;5;1;1;1;2;3;31;1;2;2;3;2;1;1;2;good;0
3;15;2;6;392;2;4;2;1;4;2;23;3;1;1;3;1;2;1;1;good;0
2;18;2;0;6260;4;3;3;1;3;1;28;3;1;1;2;1;1;1;1;good;0
4;36;4;0;7855;3;4;2;1;2;1;25;2;2;2;3;1;2;1;1;bad;1
1;12;2;3;1680;5;3;4;1;1;1;35;3;2;1;3;1;1;1;3;good;0
4;48;4;3;3578;5;4;3;1;1;1;47;3;2;1;3;1;2;1;5;good;0
1;42;2;3;7174;4;4;2;1;3;3;30;3;2;1;4;1;2;1;5;bad;1
1;10;4;2;2132;2;2;2;2;3;1;27;3;1;2;3;1;1;2;5;good;0
1;33;4;2;4281;3;1;2;1;4;3;23;3;2;2;3;1;1;1;3;bad;1
2;12;4;0;2366;4;3;1;1;3;3;36;3;2;1;4;1;2;1;3;good;0
1;21;2;3;1835;3;3;2;1;2;1;25;3;2;2;3;1;2;1;1;bad;1
4;24;4;1;3868;5;4;2;1;2;3;41;3;1;2;4;1;2;1;1;good;0
4;12;2;2;1768;3;3;3;1;2;1;24;3;1;1;2;1;1;1;1;good;0
3;10;4;0;781;5;4;3;1;4;4;63;3;3;2;3;1;2;1;1;good;0
2;18;2;2;1924;2;4;2;1;3;1;27;3;1;1;3;1;1;1;5;bad;1
1;12;4;0;2121;3;4;3;1;2;2;30;3;2;2;3;1;1;1;1;good;0
1;12;2;3;701;3;4;4;1;2;1;40;3;2;1;2;1;1;1;1;good;0
2;12;2;5;639;3;4;3;1;2;3;30;3;2;1;3;1;1;1;1;bad;1
2;12;4;1;1860;1;4;3;1;2;3;34;3;2;2;4;1;2;1;1;good;0
1;12;4;0;3499;3;3;2;2;2;1;29;3;2;2;3;1;1;1;1;bad;1
2;48;2;0;8487;4;1;2;1;2;3;24;3;2;1;3;1;1;1;5;good;0
1;36;3;6;6887;3;4;3;1;3;2;29;2;2;1;3;1;2;1;1;bad;1
4;15;2;2;2708;2;2;3;1;3;2;27;1;2;2;2;1;1;1;1;good;0
4;18;2;2;1984;3;4;3;1;4;4;47;1;3;2;3;1;1;1;1;good;0
4;60;2;3;10144;4;2;2;1;4;1;21;3;2;1;3;1;2;1;2;good;0
4;12;4;3;1240;5;4;2;1;2;1;38;3;2;2;3;1;2;1;5;good;0
4;27;3;1;8613;3;2;3;1;2;3;27;3;2;2;3;1;1;1;4;good;0
2;12;2;3;766;3;4;3;1;3;1;66;3;2;1;2;1;1;1;3;bad;1
2;15;4;3;2728;4;4;3;3;2;1;35;1;2;3;3;1;2;1;5;good;0
3;12;2;3;1881;3;2;2;1;2;3;44;3;1;1;2;1;2;1;1;good;0
3;6;2;0;709;2;2;4;1;2;1;27;3;2;1;1;1;1;2;4;good;0
2;36;2;3;4795;2;4;2;1;1;4;30;3;2;1;4;1;2;1;1;good;0
1;27;2;3;3416;3;3;3;1;2;3;27;3;2;1;4;1;1;1;1;good;0
1;18;2;2;2462;3;2;3;1;2;3;22;3;2;1;3;1;1;1;1;bad;1
4;21;4;2;2288;2;4;2;1;4;2;23;3;2;1;3;1;2;1;1;good;0
2;48;1;9;3566;4;4;3;1;2;3;30;3;2;1;3;1;1;1;2;good;0
1;6;4;0;860;5;1;2;1;4;4;39;3;2;2;3;1;2;1;1;good;0
4;12;4;0;682;4;4;2;1;3;3;51;3;2;2;3;1;2;1;2;good;0
1;36;4;2;5371;3;3;3;3;2;2;28;3;2;2;3;1;1;1;1;good;0
4;18;4;3;1582;5;4;3;1;4;3;46;3;2;2;3;1;1;1;4;good;0
4;6;2;3;1346;5;2;3;1;4;4;42;1;3;1;3;2;2;1;2;good;0
4;10;2;3;1924;3;1;3;1;4;2;38;3;2;1;3;1;2;2;1;good;0
3;36;2;3;5848;3;4;3;1;1;3;24;3;2;1;3;1;1;1;1;good;0
2;24;4;1;7758;5;2;2;1;4;4;29;3;1;1;3;1;1;1;4;good;0
2;24;3;9;6967;4;4;3;1;4;3;36;3;1;1;4;1;2;1;2;good;0
1;12;2;2;1282;3;2;2;1;4;3;20;3;1;1;3;1;1;1;1;bad;1
1;9;4;5;1288;5;3;3;3;4;1;48;3;2;2;3;2;1;2;2;good;0
1;12;1;8;339;5;4;4;1;1;3;45;1;2;1;2;1;1;1;1;good;0
2;24;2;0;3512;4;2;3;1;3;3;38;1;2;2;3;1;2;1;2;good;0
4;6;4;3;1898;3;1;3;1;2;1;34;3;2;2;2;2;1;1;5;good;0
4;24;4;3;2872;5;3;3;1;4;1;36;3;2;1;3;2;2;1;2;good;0
4;18;4;0;1055;2;4;2;1;1;2;30;3;2;2;3;1;1;1;1;good;0
4;15;2;4;1262;4;4;3;1;3;2;36;3;2;2;3;1;2;1;3;good;0
2;10;2;0;7308;1;2;3;1;4;4;70;1;3;1;4;1;2;1;1;good;0
4;36;2;0;909;5;4;3;1;4;2;36;3;2;1;3;1;1;1;3;good;0
4;6;2;2;2978;3;1;3;1;2;3;32;3;2;1;3;1;2;1;3;good;0
1;18;2;2;1131;1;4;2;1;2;3;33;3;2;1;3;1;1;1;1;bad;1
2;11;2;2;1577;2;4;2;1;1;1;20;3;2;1;3;1;1;1;4;good;0
4;24;2;2;3972;4;2;2;1;4;2;25;3;1;1;3;1;2;1;1;good;0
2;24;4;9;1935;5;4;1;1;4;1;31;3;2;2;3;1;2;1;1;bad;1
1;15;0;0;950;5;4;3;1;3;3;33;3;1;2;3;2;1;1;1;bad;1
4;12;2;2;763;3;4;2;1;1;1;26;3;2;1;3;1;2;1;1;good;0
2;24;3;2;2064;1;3;2;1;2;2;34;3;2;1;4;1;2;1;1;bad;1
2;8;2;3;1414;3;4;3;3;2;1;33;3;2;1;3;1;1;2;1;good;0
1;21;3;6;3414;2;2;3;1;1;2;26;3;2;2;3;1;1;1;1;bad;1
4;30;1;1;7485;1;4;2;1;1;1;53;1;2;1;4;1;2;1;5;bad;1
1;12;2;2;2577;3;2;1;1;1;3;42;3;2;1;3;1;1;1;1;good;0
1;6;4;3;338;5;4;3;1;4;3;52;3;2;2;3;1;1;1;3;good;0
4;12;2;3;1963;4;4;3;1;2;3;31;3;1;2;4;2;2;1;1;good;0
1;21;4;0;571;5;4;3;1;4;1;65;3;2;2;3;1;1;1;1;good;0
4;36;3;9;9572;2;1;1;1;1;3;28;3;2;2;3;1;1;1;1;bad;1
2;36;3;9;4455;3;2;1;1;2;1;30;2;2;2;4;1;2;1;1;bad;1
1;21;1;0;1647;3;4;3;1;2;2;40;3;2;2;2;2;1;1;5;bad;1
4;24;4;2;3777;3;4;3;1;4;1;50;3;2;1;3;1;2;1;4;good;0
2;18;4;0;884;5;4;3;1;4;3;36;1;2;1;3;2;2;1;1;bad;1
4;15;4;3;1360;3;4;3;1;2;2;31;3;2;2;3;1;1;1;1;good;0
2;9;1;1;5129;5;2;2;1;4;4;74;1;3;1;4;2;2;1;1;bad;1
2;16;4;0;1175;1;2;3;1;3;3;68;3;3;3;1;1;2;1;1;good;0
1;12;2;3;674;4;4;4;1;1;2;20;3;2;1;3;1;1;1;2;bad;1
2;18;0;2;3244;3;1;2;1;4;3;33;1;2;2;3;1;2;1;1;good;0
4;24;2;9;4591;3;2;3;1;3;2;54;3;2;3;4;1;2;1;4;bad;1
2;48;0;9;3844;4;4;3;1;4;4;34;3;3;1;2;2;1;1;2;bad;1
2;27;2;9;3915;3;4;3;1;2;3;36;3;2;1;3;2;2;1;1;bad;1
4;6;2;3;2108;4;2;4;1;2;1;29;3;1;1;3;1;1;1;1;good;0
2;45;2;3;3031;3;4;3;3;4;2;21;3;1;1;3;1;1;1;2;bad;1
2;9;4;6;1501;5;2;2;1;3;3;34;3;2;2;4;1;2;1;1;bad;1
4;6;4;3;1382;3;1;2;1;1;3;28;3;2;2;3;1;2;1;1;good;0
2;12;2;2;951;2;4;2;1;4;3;27;1;1;4;3;1;1;1;2;bad;1
2;24;2;1;2760;5;4;3;1;4;4;36;1;3;1;3;1;2;1;5;good;0
2;18;3;2;4297;5;4;1;1;3;4;40;3;2;1;4;1;2;1;1;bad;1
4;9;4;6;936;5;4;3;1;2;3;52;3;2;2;3;1;2;1;3;good;0
1;12;2;0;1168;3;4;4;1;3;1;27;3;2;1;2;1;1;1;1;good;0
4;27;3;9;5117;4;3;3;1;4;3;26;3;2;2;3;1;1;1;1;good;0
1;12;2;8;902;4;4;4;1;4;2;21;3;1;1;3;1;1;1;1;bad;1
4;12;4;0;1495;5;4;3;1;1;1;38;3;2;2;2;2;1;1;1;good;0
1;30;4;1;10623;5;3;3;1;4;4;38;3;3;3;4;2;2;1;1;good;0
4;12;4;2;1935;5;4;3;1;4;1;43;3;2;3;3;1;2;1;1;good;0
2;12;4;4;1424;4;4;3;1;3;2;26;3;2;1;3;1;1;1;1;good;0
1;24;2;9;6568;3;2;4;1;2;3;21;2;2;1;2;1;1;1;1;good;0
4;12;2;1;1413;4;3;3;1;2;2;55;3;2;1;3;1;1;2;4;good;0
4;9;4;3;3074;3;1;3;1;2;1;33;3;2;2;3;2;1;1;5;good;0
4;36;2;3;3835;5;2;2;1;4;1;45;3;2;1;2;1;2;1;5;good;0
1;27;0;9;5293;1;2;3;1;4;2;50;2;2;2;3;1;2;1;1;bad;1
3;30;3;9;1908;5;4;3;1;4;1;66;3;2;1;4;1;2;1;1;bad;1
4;36;4;3;3342;5;4;3;1;2;3;51;3;2;1;3;1;2;1;5;good;0
2;6;4;8;932;4;1;2;1;3;2;39;3;2;2;2;1;1;1;5;good;0
1;18;0;9;3104;4;3;3;1;1;2;31;1;2;1;3;1;2;1;1;good;0
3;36;2;3;3913;3;2;3;1;2;1;23;3;2;1;3;1;2;1;1;good;0
1;24;2;2;3021;3;2;1;1;2;1;24;3;1;1;2;1;1;1;1;good;0
4;10;2;0;1364;3;2;2;1;4;3;64;3;2;1;3;1;2;1;1;good;0
2;12;2;3;625;2;4;4;3;1;1;26;1;2;1;2;1;1;1;1;good;0
1;12;2;6;1200;3;4;2;1;4;2;23;1;1;1;3;1;2;1;5;good;0
4;12;2;3;707;3;4;3;1;2;1;30;1;2;2;3;1;1;1;1;good;0
4;24;3;9;2978;3;4;3;1;4;1;32;3;2;2;3;2;2;1;5;good;0
4;15;2;1;4657;3;3;3;1;2;3;30;3;2;1;3;1;2;1;1;good;0
4;36;0;5;2613;3;4;3;1;2;3;27;3;2;2;3;1;1;1;1;good;0
2;48;2;3;10961;4;1;3;2;2;4;27;1;2;2;3;1;2;1;4;bad;1
1;12;2;2;7865;5;4;3;1;4;4;53;3;3;1;4;1;2;1;1;bad;1
4;9;2;3;1478;4;4;3;1;2;3;22;3;2;1;3;1;1;1;1;bad;1
1;24;2;2;3149;2;4;3;1;1;4;22;1;3;1;3;1;1;1;1;good;0
3;36;2;3;4210;3;4;3;1;2;3;26;3;2;1;3;1;1;1;1;bad;1
4;9;2;0;2507;5;2;3;1;4;4;51;3;3;1;2;1;1;1;3;good;0
4;12;2;3;2141;4;3;3;1;1;4;35;3;2;1;3;1;1;1;2;good;0
2;18;2;3;866;3;4;4;3;2;1;25;3;2;1;2;1;1;1;1;good;0
4;4;4;3;1544;4;2;3;1;1;1;42;3;2;3;2;2;1;1;1;good;0
1;24;2;3;1823;1;4;3;1;2;3;30;2;2;1;4;2;1;1;1;bad;1
2;6;2;0;14555;1;1;3;1;2;2;23;3;2;1;1;1;2;1;5;bad;1
2;21;2;9;2767;5;4;1;1;2;3;61;1;1;2;2;1;1;1;2;bad;1
4;12;4;3;1291;3;4;2;1;2;2;35;3;2;2;3;1;1;1;1;good;0
1;30;2;3;2522;5;1;3;3;3;2;39;3;2;1;3;2;1;1;1;good;0
1;24;2;0;915;5;4;2;1;2;3;29;1;2;1;3;1;1;1;5;bad;1
4;6;2;3;1595;4;3;3;1;2;2;51;3;2;1;3;2;1;1;1;good;0
1;48;0;1;4605;5;3;3;1;4;4;24;3;3;2;3;2;1;1;1;bad;1
4;12;4;9;1185;3;3;2;1;2;1;27;3;2;2;3;1;1;1;1;good;0
4;12;1;8;3447;3;4;2;1;3;1;35;3;2;1;2;2;1;1;3;good;0
4;24;2;9;1258;4;4;3;1;1;1;25;3;2;1;3;1;2;1;1;good;0
4;12;4;3;717;5;4;3;1;4;1;52;3;2;3;3;1;1;1;1;good;0
4;6;0;0;1204;3;4;3;1;1;4;35;1;1;1;3;1;1;2;2;good;0
3;24;2;2;1925;3;2;3;1;2;1;26;3;2;1;3;1;1;1;1;good;0
4;18;2;3;433;1;3;2;2;4;1;22;3;1;1;3;1;1;1;1;bad;1
1;6;4;0;666;4;3;2;1;4;1;39;3;2;2;2;1;2;1;4;good;0
3;12;2;2;2251;3;1;2;1;2;3;46;3;2;1;2;1;1;1;1;good;0
2;30;2;0;2150;3;4;2;3;2;4;24;1;2;1;3;1;1;1;1;bad;1
4;24;3;2;4151;3;2;3;1;3;2;35;3;2;2;3;1;1;1;2;good;0
2;9;2;2;2030;4;2;3;1;1;3;24;3;2;1;3;1;2;1;5;good;0
2;60;3;3;7418;3;1;3;1;1;1;27;3;2;1;2;1;1;1;5;good;0
4;24;4;3;2684;3;4;3;1;2;1;35;3;2;2;2;1;1;1;1;good;0
1;12;1;3;2149;3;4;1;1;1;4;29;3;3;1;3;1;1;1;1;bad;1
4;15;2;1;3812;2;1;2;1;4;3;23;3;2;1;3;1;2;1;2;good;0
4;11;4;3;1154;1;4;2;1;4;1;57;3;2;3;2;1;1;1;2;good;0
1;12;2;2;1657;3;2;3;1;2;1;27;3;2;1;3;1;1;1;1;good;0
1;24;2;3;1603;5;4;2;1;4;3;55;3;2;1;3;1;1;1;1;good;0
1;18;4;0;5302;5;2;3;1;4;4;36;3;3;3;4;1;2;1;1;good;0
4;12;4;6;2748;5;2;2;1;4;4;57;1;3;3;2;1;1;1;1;good;0
4;10;4;0;1231;5;3;3;1;4;1;32;3;2;2;2;2;1;2;1;good;0
2;15;2;3;802;5;4;3;1;3;3;37;3;2;1;3;2;1;1;1;bad;1
4;36;4;9;6304;5;4;3;1;4;1;36;3;2;2;3;1;1;1;5;good;0
4;24;2;3;1533;2;4;2;1;3;3;38;2;2;1;3;1;2;1;1;good;0
1;14;2;0;8978;5;1;1;1;4;2;45;3;2;1;4;1;2;2;1;bad;1
4;24;2;3;999;5;4;3;1;2;3;25;3;2;2;3;1;1;1;5;good;0
4;18;2;0;2662;4;4;3;1;3;2;32;3;2;1;3;1;1;2;5;good;0
4;12;4;2;1402;4;3;2;1;4;3;37;3;1;1;3;1;2;1;3;good;0
2;48;1;0;12169;1;4;3;2;4;4;36;3;3;1;4;1;2;1;5;good;0
2;48;2;3;3060;4;4;3;1;4;1;28;3;2;2;3;1;1;1;1;bad;1
1;30;2;5;11998;2;1;1;1;1;4;34;3;2;1;2;1;2;1;1;bad;1
4;9;2;3;2697;3;1;3;1;2;1;32;3;2;1;3;2;1;1;1;good;0
4;18;4;3;2404;3;2;2;1;2;3;26;3;2;2;3;1;1;1;1;good;0
1;12;2;2;1262;5;2;1;1;4;2;49;3;2;1;2;1;2;1;5;good;0
4;6;2;2;4611;2;1;2;1;4;2;32;3;2;1;3;1;1;1;1;bad;1
4;24;2;3;1901;3;4;3;1;4;3;29;3;1;1;4;1;2;1;2;good;0
4;15;4;1;3368;5;3;3;1;4;4;23;3;1;2;3;1;2;1;4;good;0
4;12;2;2;1574;3;4;3;1;2;1;50;3;2;1;3;1;1;1;1;good;0
3;18;1;3;1445;4;4;3;1;4;3;49;1;2;1;2;1;1;1;5;good;0
4;15;4;2;1520;5;4;3;1;4;2;63;3;2;1;3;1;1;1;5;good;0
2;24;4;0;3878;2;4;1;1;2;3;37;3;2;1;3;1;2;1;2;good;0
1;47;2;0;10722;2;1;2;1;1;1;35;3;2;1;2;1;2;1;1;good;0
1;48;2;1;4788;4;4;3;1;3;2;26;3;2;1;3;2;1;1;1;good;0
2;48;3;0;7582;1;2;3;1;4;4;31;3;3;1;4;1;2;1;2;good;0
2;12;2;3;1092;3;4;2;3;4;1;49;3;2;2;3;1;2;1;1;good;0
1;24;3;3;1024;2;4;4;1;4;1;48;2;2;1;3;1;1;1;1;bad;1
4;12;2;9;1076;3;2;4;1;2;1;26;3;2;1;3;1;2;2;1;good;0
2;36;2;1;9398;2;1;4;1;4;3;28;3;1;1;4;1;2;1;1;bad;1
1;24;4;1;6419;5;2;2;1;4;4;44;3;3;2;4;2;2;1;1;good;0
3;42;4;1;4796;5;4;3;1;4;4;56;3;3;1;3;1;1;1;1;good;0
4;48;4;9;7629;5;4;1;1;2;3;46;1;2;2;4;2;1;1;5;good;0
2;48;2;2;9960;2;1;2;1;2;3;26;3;2;1;3;1;2;1;1;bad;1
4;12;2;1;4675;2;1;2;1;4;3;20;3;1;1;3;1;1;1;5;good;0
4;10;2;0;1287;5;4;3;2;2;2;45;3;2;1;2;1;1;2;5;good;0
4;18;2;2;2515;3;3;3;1;4;1;43;3;2;1;3;1;2;1;1;good;0
2;21;4;2;2745;4;3;3;1;2;3;32;3;2;2;3;1;2;1;4;good;0
4;6;2;0;672;1;1;2;1;4;1;54;3;2;1;1;1;2;1;1;good;0
2;36;0;3;3804;3;4;2;1;1;3;42;3;2;1;3;1;2;1;1;bad;1
3;24;4;0;1344;4;4;3;1;2;1;37;1;2;2;2;2;1;1;5;bad;1
1;10;4;0;1038;4;4;3;2;3;2;49;3;2;2;3;1;2;1;1;good;0
4;48;4;0;10127;3;2;3;1;2;4;44;1;3;1;3;1;1;1;3;bad;1
4;6;2;2;1543;3;4;1;1;2;1;33;3;2;1;3;1;1;1;4;good;0
4;30;2;1;4811;4;2;2;1;4;2;24;2;1;1;2;1;1;1;5;good;0
